source,ptcp,time_start,time_end,age,agebin,spkr,vcm,lex,mwu,voc_type,spkr_bi,n_utts_per_file,n_utts_per_min
6660rcd,1484chi,29224.75,29226.996,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,29229.639,29230.152,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,29230.404,29231.002,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,29232.137,29234.553,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30043.76,30044.255,6,"(0,6]",girl,no,no,no,no,OTRCHI,6,0.133333333
6660rcd,1484chi,30047.835,30051.214,6,"(0,6]",girl,no,no,no,no,OTRCHI,6,0.133333333
6660rcd,1484chi,30122.595,30124.891,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30125.676,30126.896,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30127.052,30127.707,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30128.462,30129.58,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30136.028,30139.259,6,"(0,6]",man,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30156.068,30156.66,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30156.683,30157.405,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30157.978,30159.325,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30160.053,30160.789,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30161.723,30162.973,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30163.337,30164.355,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30164.374,30164.874,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,30231.537,30232.258,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31296.967,31298.239,6,"(0,6]",girl,no,no,no,no,OTRCHI,6,0.133333333
6660rcd,1484chi,31397.623,31397.961,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31475.409,31476.878,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31479.666,31480.666,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31505.595,31507.816,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31508.194,31510.519,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31512.835,31516.055,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31516.176,31518.265,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31519.809,31521.467,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31531.377,31531.989,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31537.079,31539.668,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
6660rcd,1484chi,31540.068,31540.521,6,"(0,6]",woman,no,no,no,no,ADU,53,1.177777778
1454rcd,5784chi,3864.672,3865.548,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3866.271,3867.267,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3866.68,3868.024,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3867.958,3868.696,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3870.065,3870.866,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3871.105,3872.15,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3872.604,3874.709,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3872.784,3874.618,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3970.139,3972.994,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3981.328,3982.082,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,3982.664,3985.063,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,4018.102,4018.912,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,5950.517,5952.861,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6005.952,6007.226,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6008.669,6009.556,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6009.747,6010.449,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6070.86,6071.481,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6129.632,6130.625,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6134.007,6134.323,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6135.147,6137.426,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6137.727,6139.86,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6142.455,6144.397,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6144.813,6146.837,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6147.764,6148.132,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,6155.691,6157.255,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14789.879,14790.363,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14791.879,14792.313,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14793.728,14795.613,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14797.028,14797.638,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14797.929,14798.484,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14799.619,14800.345,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14800.803,14802.628,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14837.836,14838.27,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14838.717,14839.842,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14842.962,14844.724,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14847.267,14848.278,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14850.004,14850.654,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14851.866,14852.533,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14858.441,14859.056,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14872.377,14872.966,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14875.854,14876.329,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14895.436,14896.169,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14897.884,14898.44,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14900.473,14901.027,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14901.304,14901.714,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14902.82,14903.281,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14904.364,14904.797,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14981.263,14982.917,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,14984.029,14984.557,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,15047.437,15047.802,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,15050.005,15050.515,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,15051.641,15052.177,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,15058.673,15059.163,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,15060.588,15061.831,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19275.27,19276.303,11,"(6,12]",girl,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,19275.521,19276.428,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19276.8,19279.235,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19279.571,19280.621,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19328.707,19331.4,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19330.48,19331.28,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19331.575,19332.615,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19332.82,19335.325,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19335.717,19337.207,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19338.076,19339.472,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19350.737,19353.189,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19357.542,19358.694,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19373.219,19373.57,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19376.055,19381.243,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19385.322,19386.093,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19386.363,19387.267,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19387.164,19389.667,11,"(6,12]",girl,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,19388.568,19388.925,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19389.218,19390.029,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19390.65,19393.17,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19393.868,19395.717,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19401.89,19403.71,11,"(6,12]",girl,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,19405.2,19407.67,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19418.16,19421.26,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19421.798,19422.826,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19423.682,19425.777,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19427.458,19428.42,11,"(6,12]",girl,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,19429.302,19430.129,11,"(6,12]",girl,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,19437.965,19438.269,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19438.63,19439.399,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19440.077,19440.379,11,"(6,12]",girl,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,19444.526,19445.252,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19446.078,19447.8,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19448.404,19449.047,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19450.181,19450.508,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19452.326,19452.661,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19453.374,19454.482,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19457.456,19458.865,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19459.604,19460.095,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19460.838,19461.307,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19461.613,19462.004,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19462.714,19462.954,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19479.565,19481.134,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19482.091,19482.7,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19483.097,19483.487,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19484.147,19485.386,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19487.165,19487.565,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19495.143,19497.121,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19497.377,19498.136,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19498.314,19499.074,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19499.376,19501.056,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19501.943,19502.347,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19507.343,19508.32,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19518.634,19520.093,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19527.811,19528.608,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19529.56,19530.791,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,19554.746,19556.494,11,"(6,12]",girl,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25514.747,25516.146,11,"(6,12]",man,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25520.223,25520.853,11,"(6,12]",man,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25554.78,25556.195,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25560.691,25562.045,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25586.349,25587.176,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25642.327,25642.776,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25644.873,25645.454,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25696.736,25697.891,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25717.303,25717.803,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25726.26,25726.881,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25728.79,25729.372,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25729.855,25730.642,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,25731.093,25731.953,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25733.413,25734.077,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25734.451,25735.177,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25735.597,25736.546,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25749.268,25752.876,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25762.271,25763.438,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25763.811,25764.574,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25768.618,25769.795,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25771.294,25772.22,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25772.738,25773.587,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25774.454,25775.404,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25776.572,25777.289,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,25802.963,25804.97,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,26996.772,26997.974,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,26998.345,26998.979,11,"(6,12]",man,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,27074.092,27075.254,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,27262.023,27262.859,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,27267.468,27269.358,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,27269.358,27270.1,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,27270.1,27270.553,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29369.978,29371.943,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29407.186,29409.462,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29509.789,29511.346,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29516.558,29516.974,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29517.424,29520.844,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29521.008,29523.118,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29559.647,29560.281,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29559.921,29560.75,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,29564.172,29565.171,11,"(6,12]",boy,no,no,no,no,OTRCHI,23,0.511111111
1454rcd,5784chi,29565.6,29568.215,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29571.799,29572.5,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
1454rcd,5784chi,29628.341,29629.736,11,"(6,12]",woman,no,no,no,no,ADU,132,2.933333333
